OMRÅDE;KØN;ALDER;CIVILSTAND;TID;INDHOLD
Hele landet;I alt;76 år;Ugift;2020K1;2606
Hele landet;I alt;76 år;Gift/separeret;2020K1;31631
Hele landet;I alt;77 år;Ugift;2020K1;2139
Hele landet;I alt;77 år;Gift/separeret;2020K1;28282
Hele landet;I alt;78 år;Ugift;2020K1;1774
Hele landet;I alt;78 år;Gift/separeret;2020K1;23509
Hele landet;I alt;79 år;Ugift;2020K1;1614
Hele landet;I alt;79 år;Gift/separeret;2020K1;21114
Hele landet;I alt;80 år;Ugift;2020K1;1461
Hele landet;I alt;80 år;Gift/separeret;2020K1;18436
Hele landet;I alt;81 år;Ugift;2020K1;1350
Hele landet;I alt;81 år;Gift/separeret;2020K1;16566
Hele landet;I alt;82 år;Ugift;2020K1;1175
Hele landet;I alt;82 år;Gift/separeret;2020K1;14135
Hele landet;I alt;83 år;Ugift;2020K1;1022
Hele landet;I alt;83 år;Gift/separeret;2020K1;11892
Hele landet;I alt;84 år;Ugift;2020K1;919
Hele landet;I alt;84 år;Gift/separeret;2020K1;9559
Hele landet;I alt;85 år;Ugift;2020K1;771
Hele landet;I alt;85 år;Gift/separeret;2020K1;7791
Hele landet;I alt;86 år;Ugift;2020K1;693
Hele landet;I alt;86 år;Gift/separeret;2020K1;6301
Hele landet;I alt;87 år;Ugift;2020K1;602
Hele landet;I alt;87 år;Gift/separeret;2020K1;4885
Hele landet;I alt;88 år;Ugift;2020K1;545
Hele landet;I alt;88 år;Gift/separeret;2020K1;3897
Hele landet;I alt;89 år;Ugift;2020K1;490
Hele landet;I alt;89 år;Gift/separeret;2020K1;2934
Hele landet;I alt;90 år;Ugift;2020K1;391
Hele landet;I alt;90 år;Gift/separeret;2020K1;2198
Hele landet;I alt;91 år;Ugift;2020K1;340
Hele landet;I alt;91 år;Gift/separeret;2020K1;1689
Hele landet;I alt;92 år;Ugift;2020K1;268
Hele landet;I alt;92 år;Gift/separeret;2020K1;1174
Hele landet;I alt;93 år;Ugift;2020K1;213
Hele landet;I alt;93 år;Gift/separeret;2020K1;837
Hele landet;I alt;94 år;Ugift;2020K1;187
Hele landet;I alt;94 år;Gift/separeret;2020K1;527
Hele landet;I alt;95 år;Ugift;2020K1;142
Hele landet;I alt;95 år;Gift/separeret;2020K1;303
Hele landet;I alt;96 år;Ugift;2020K1;90
Hele landet;I alt;96 år;Gift/separeret;2020K1;171
Hele landet;I alt;97 år;Ugift;2020K1;63
Hele landet;I alt;97 år;Gift/separeret;2020K1;110
Hele landet;I alt;98 år;Ugift;2020K1;66
Hele landet;I alt;98 år;Gift/separeret;2020K1;51
Hele landet;I alt;99 år;Ugift;2020K1;41
Hele landet;I alt;99 år;Gift/separeret;2020K1;40
Hele landet;I alt;100 år;Ugift;2020K1;12
Hele landet;I alt;100 år;Gift/separeret;2020K1;18
Hele landet;I alt;101 år;Ugift;2020K1;13
Hele landet;I alt;101 år;Gift/separeret;2020K1;13
Hele landet;I alt;102 år;Ugift;2020K1;8
Hele landet;I alt;102 år;Gift/separeret;2020K1;4
Hele landet;I alt;103 år;Ugift;2020K1;4
Hele landet;I alt;103 år;Gift/separeret;2020K1;3
Hele landet;I alt;104 år;Ugift;2020K1;3
Hele landet;I alt;104 år;Gift/separeret;2020K1;0
Hele landet;I alt;105 år;Ugift;2020K1;2
Hele landet;I alt;105 år;Gift/separeret;2020K1;0
Hele landet;I alt;106 år;Ugift;2020K1;0
Hele landet;I alt;106 år;Gift/separeret;2020K1;1
Hele landet;I alt;107 år;Ugift;2020K1;1
Hele landet;I alt;107 år;Gift/separeret;2020K1;0
Hele landet;I alt;108 år;Ugift;2020K1;0
Hele landet;I alt;108 år;Gift/separeret;2020K1;0
Hele landet;I alt;109 år;Ugift;2020K1;0
Hele landet;I alt;109 år;Gift/separeret;2020K1;0
Hele landet;I alt;110 år;Ugift;2020K1;0
Hele landet;I alt;110 år;Gift/separeret;2020K1;0
Hele landet;I alt;111 år;Ugift;2020K1;0
Hele landet;I alt;111 år;Gift/separeret;2020K1;0
Hele landet;I alt;112 år;Ugift;2020K1;0
Hele landet;I alt;112 år;Gift/separeret;2020K1;0
Hele landet;I alt;113 år;Ugift;2020K1;0
Hele landet;I alt;113 år;Gift/separeret;2020K1;0
Hele landet;I alt;114 år;Ugift;2020K1;0
Hele landet;I alt;114 år;Gift/separeret;2020K1;0
Hele landet;I alt;115 år;Ugift;2020K1;0
Hele landet;I alt;115 år;Gift/separeret;2020K1;0
Hele landet;I alt;116 år;Ugift;2020K1;0
Hele landet;I alt;116 år;Gift/separeret;2020K1;0
Hele landet;I alt;117 år;Ugift;2020K1;0
Hele landet;I alt;117 år;Gift/separeret;2020K1;0
Hele landet;I alt;118 år;Ugift;2020K1;0
Hele landet;I alt;118 år;Gift/separeret;2020K1;0
Hele landet;I alt;119 år;Ugift;2020K1;0
Hele landet;I alt;119 år;Gift/separeret;2020K1;0
Hele landet;I alt;120 år;Ugift;2020K1;0
Hele landet;I alt;120 år;Gift/separeret;2020K1;0
Hele landet;I alt;121 år;Ugift;2020K1;0
Hele landet;I alt;121 år;Gift/separeret;2020K1;0
Hele landet;I alt;122 år;Ugift;2020K1;0
Hele landet;I alt;122 år;Gift/separeret;2020K1;0
Hele landet;I alt;123 år;Ugift;2020K1;0
Hele landet;I alt;123 år;Gift/separeret;2020K1;0
Hele landet;I alt;124 år;Ugift;2020K1;0
Hele landet;I alt;124 år;Gift/separeret;2020K1;0
Hele landet;I alt;125 år;Ugift;2020K1;0
Hele landet;I alt;125 år;Gift/separeret;2020K1;0
